title,price,rating,image,cpu,ram,storage,screen,os_version,display_resolution,model_number,link,spec_adobe_flash_compatible,spec_audio_jack,spec_bag_style,spec_battery_life,spec_battery_size,spec_care_instructions,spec_casing,spec_charging_type,spec_closure,spec_colour_name,spec_compatibility,spec_connection_type,spec_cpu_speed,spec_display_resolution,spec_display_type,spec_exterior_material,spec_external_graphics,spec_feature,spec_features,spec_gender,spec_gpu_version,spec_grade,spec_graphic_memory,spec_hdd_rotation,spec_hdmi_output,spec_interior_material,spec_internal_memory,spec_keyboard_language,spec_level,spec_material,spec_model_name,spec_model_number,spec_model_series,spec_number_of_channels,spec_number_of_cores,spec_number_of_hdmi_ports,spec_number_of_pieces,spec_number_of_usb_ports,spec_occasion,spec_operating_system,spec_operating_system_number,spec_os_version,spec_pack_quantity,spec_pattern,spec_pixels_per_inch,spec_processor_version,spec_processor_version_number_generation,spec_product_height,spec_product_length,spec_product_weight,spec_product_width,spec_ram_size,spec_ram_type,spec_refresh_rates,spec_resolution,spec_response_time,spec_screen_size,spec_sd_card_slot,spec_set_includes,spec_sim_type,spec_size,spec_strap_material,spec_type,spec_usage,spec_usb_port_type,spec_version,spec_weight,spec_what_s_in_the_box,spec_wireless
"Cyborg 15 B2RWEKG(Upgraded Version) Gaming Laptop With 15.6 Inch Full HD (1920x1080) Display, Core 7-240H Processor/16GB RAM DDR5/1TB SSD/8GB Nvidia GeForce RTX 5050 Graphics/Windows 11/ Black",5399.00,,https://f.nooncdn.com/p/pzsku/Z2FE1EFD00E4A5989997BZ/45/_/1773666143/4726508b-6710-44ac-a164-92066d830bd6.jpg?width=1200,Core 7-240H,16 GB,1 TB,15.6 in,Windows 11,1920x1080,Cyborg 15 B2RWEKG,https://www.noon.com/saudi-en/cyborg-15-b2rwekg-upgraded-version-gaming-laptop-with-15-6-inch-full-hd-1920x1080-display-core-7-240h-processor-16gb-ram-ddr5-1tb-ssd-8gb-nvidia-geforce-rtx-5050-graphics-windows-11-black/N70314331V/p/,,,,,,,,,,Black,,,2.4 GHz,1920x1080,,,Graphic Card,,,,,,,,,,1 TB,,,,Cyborg 15 B2RWEKG,Cyborg 15 B2RWEKG,MSI Cyborg,,16-Core,,,,,Windows,,Windows 11,,,,Core 7-240H,2nd Gen,,,,,16 GB,DDR5,,Full HD,,15.6 in,,,,,,SSD,Gaming,,,,,
"Pro 15 Essential Laptop(Upgraded version) With 15.6 Inch Full HD (1920x1080) Display, Core i5 1334U Processor/8GB RAM DDR5/512GB SSD/Intel UHD Graphics/Windows11/ English/Arabic Black",2199.00,3.6,https://f.nooncdn.com/p/pnsku/N70349762V/45/_/1775987872/dcd71966-1380-4df3-a4f6-96ba74f8f005.jpg?width=1200,Core i5 1334U,8 GB,512 GB,15.6 in,Windows 11,1920x1080,Pro 15,https://www.noon.com/saudi-en/pro-15-essential-laptop-upgraded-version-with-15-6-inch-full-hd-1920x1080-display-core-i5-1334u-processor-8gb-ram-ddr5-512gb-ssd-intel-uhd-graphics-windows11-english-arabic-black/N70349762V/p/,,,,,,,,,,Black,,,1.5 GHz,1920x1080,,,Integrated,,,,,,,,,,512 GB,English/Arabic,,,,Pro 15,,,Deca core,,,,,Windows,,Windows 11,,,,Core i5 1334U,13th Gen,,,,,8 GB,DDR5,,Full HD,,15.6 in,,,,,,SSD,Business,,,,,
"MacBook Neo | 13-Inch Display | A18 Pro, 6-core CPU, 5-core GPU, 16-core Neural Engine Processor | 8GB RAM | 256GB SSD| English Keyboard || Indigo",2799.00,,https://f.nooncdn.com/p/pzsku/ZD630FB2A8AA46CD404F2Z/45/_/1779095054/c103be76-5355-4c0a-b73b-6002b965454e.jpg?width=1200,"A18 Pro, 6-core CPU, 5-core GPU",8 GB,256 GB,13 in,macOS Sequoia,,MHFF4LLA / MHFF4HN/A / MHFF4X/A MHFF4ZS/A,https://www.noon.com/saudi-en/macbook-neo-13-inch-display-a18-pro-6-core-cpu-5-core-gpu-16-core-neural-engine-processor-8gb-ram-256gb-ssd-english-keyboard-indigo/N70305953V/p/,,,,16 Hours,,,,,,Indigo,,,,,Liquid Retina XDR,,,,,,,,,,,,256 GB,,,,MacBook Neo / MHFF4X/A,MHFF4LLA / MHFF4HN/A / MHFF4X/A MHFF4ZS/A,,,16-Core,,,,,macOS,,macOS Sequoia,,,,"A18 Pro, 6-core CPU, 5-core GPU",Not Applicable,,,,,8 GB,DDR4,,,,13 in,,,,,,SSD,Personal,,International Version,,,
"Vivobook Go 15 (E510KAB) Laptop With 15.6-Inch Display, Celeron N4500 Processor/4GB RAM/128GB eMMC/Integrated Graphics/Windows 11 English/Arabic Star Black",996.00,2.4,https://f.nooncdn.com/p/pnsku/N70253570V/45/_/1773056698/29f6e8df-6631-4976-8f7b-0561712c97e6.jpg?width=1200,Intel Celeron N4500,4 GB,128 GB,15.6 in,Windows 11,1366x768,E510KAB-BR1140WS,https://www.noon.com/saudi-en/vivobook-go-15-e510kab-laptop-with-15-6-inch-display-celeron-n4500-processor-4gb-ram-128gb-emmc-integrated-graphics-windows-11-english-arabic-star-black/N70253570V/p/,,,,,,,,,,Star Black,,,2.8 GHz,1366x768,,,Integrated,,,,,,,,,,128 GB,English/Arabic,,,Vivobook Go 15,E510KAB-BR1140WS,ASUS Vivobook,,Dual Core,1,,2,,Windows,,Windows 11,,,,Intel Celeron N4500,Not Applicable,,,,,4 GB,DDR4,,Full HD,,15.6 in,No,,,,,eMMC,Personal,,,,,
11.6 Inch N4020 Portable Notebook Computer Online Business Travel Simple Office Computer Laptop,640.00,2.9,https://f.nooncdn.com/p/pzsku/ZB8BDE48E088C9E501A64Z/45/_/1774683030/b8a227f5-846f-4a26-8541-c2168dff3046.jpg?width=1200,,,,11.6 Inch,,,,https://www.noon.com/saudi-en/11-6-inch-n4020-portable-notebook-computer-online-business-travel-simple-office-computer-laptop/ZB8BDE48E088C9E501A64Z/p/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deep space Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matebook D 16 Laptop With 16-Inch Full HD With Eye Comfort Full View Display, Intel Core i5-12450H Processor/8GB RAM/512GB SSD/Intel Iris Xe Graphics/Windows 11/ English/Arabic Mystic Silver",2149.00,4.3,https://f.nooncdn.com/p/pnsku/N53337038A/45/_/1764242519/dc2bc733-ad2a-4775-8e29-633d803392ca.jpg?width=1200,Core i5-12450H,8 GB,512 GB,16 in,Windows 11,1920x1200,RolleF-W5851,https://www.noon.com/saudi-en/matebook-d-16-laptop-with-16-inch-full-hd-with-eye-comfort-full-view-display-intel-core-i5-12450h-processor-8gb-ram-512gb-ssd-intel-iris-xe-graphics-windows-11-english-arabic-mystic-silver/N53337038A/p/,,,,,,,,,,Mystic Silver,,,1.8 GHz,1920x1200,IPS,,Integrated,,Anti Glare,,Intel Iris XE,,,,Yes,,512 GB,English/Arabic,,,Matebook D16,RolleF-W5851,Huawei MateBook D,,Quad Core,1,,,,Windows,,Windows 11,,,,Core i5-12450H,12th Gen,,,,,8 GB,DDR4,,Full HD,,16 in,Yes,,,,,SSD,Personal,,,,,
"MacBook Neo | 13-Inch Display | A18 Pro, 6-core CPU, 5-core GPU, 16-core Neural Engine Processor | 8GB RAM | 512GB SSD| English And Arabic Keyboard | Citrus",3299.00,4.7,https://f.nooncdn.com/p/pzsku/Z793D1446334ACB3B2FBEZ/45/_/1779094404/644d2fe1-1e37-4b51-9ae0-b7a1a9c7f0ac.jpg?width=1200,"A18 Pro, 6-core CPU, 5-core GPU",8 GB,512 GB,13 in,macOS Sequoia,,"MHFE4AB/A, MHFE4HN/A",https://www.noon.com/saudi-en/macbook-neo-13-inch-display-a18-pro-6-core-cpu-5-core-gpu-16-core-neural-engine-processor-8gb-ram-512gb-ssd-english-and-arabic-keyboard-citrus/N70305946V/p/,,,,16 Hours,,,,,,Citrus,,,,,Liquid Retina XDR,,,,,,,,,,,,512 GB,,,,MacBook Neo,"MHFE4AB/A, MHFE4HN/A",,,16-Core,,,,,macOS,,macOS Sequoia,,,,"A18 Pro, 6-core CPU, 5-core GPU",Not Applicable,,,,,8 GB,DDR4,,,,13 in,,,,,,SSD,Business,,Middle East Version,,,
"Renewed - Thinkpad X1 Carbon Laptop With 14-Inch Screen ,Intel Core i5/Quad Core/8th Gen/16GB RAM/256GB SSD/Windows 10 English Black",920.00,2.8,https://f.nooncdn.com/p/pnsku/N70098730V/45/_/1722924113/e23b1083-5667-4277-802d-32e6a8348a36.jpg?width=1200,Core i5-8265U,16 GB,256 GB,14 in,Windows 10,1920x1080,X1 carbon,https://www.noon.com/saudi-en/renewed-thinkpad-x1-carbon-laptop-with-14-inch-screen-intel-core-i5-quad-core-8th-gen-16gb-ram-256gb-ssd-windows-10-english-black/N70098730V/p/,,,,2 Hours,,,,,,Black,,,1.6 GHz,1920x1080,,,Integrated,,,,Intel HD 620,Max,,,Yes,,256 GB,English,,,Thinkpad X1 Carbon,X1 carbon,Lenovo ThinkPad,,Quad Core,,,2,,Windows,,Windows 10,,,,Core i5-8265U,Not applicable,,,,,16 GB,DDR4,,,,14 in,Yes,,,,,SSD,Business,,,,,
"Gaming A16 CVH Laptop With 16 Inch WUXGA (1920x1200) Display,Intel Core i7-13620H Processor/16GB RAM DDR5/1TB SSD/8GB Nvidia GeForce RTX 5060 Graphics/Windows 11 Home/ English/Arabic Black Steel",4999.00,4.3,https://f.nooncdn.com/p/pzsku/Z9AE837DEE0A5D9772B40Z/45/_/1779094931/afda850f-96ca-4a84-a12e-2db113fa9486.jpg?width=1200,Core i7-13620H,16 GB,1 TB,16 in,Windows 11 Home,1920x1200,CVHI3AE894SH,https://www.noon.com/saudi-en/gaming-a16-cvh-laptop-with-16-inch-wuxga-1920x1200-display-intel-core-i7-13620h-processor-16gb-ram-ddr5-1tb-ssd-8gb-nvidia-geforce-rtx-5060-graphics-windows-11-home-english-arabic-black-steel/N70249516V/p/,,,,,,,,,,Black Steel,,,1.8 GHz,1920x1200,,,Graphic Card,,,,,,8 GB,,,,1 TB,English/Arabic,,,,CVHI3AE894SH,,,Deca core,,,,,Windows,,Windows 11 Home,,,,Core i7-13620H,13th Gen,,,,,16 GB,DDR5,,WUXGA,,16 in,,,,,,SSD,Gaming,,,,,
"Vivobook S 15 Laptop With 15.6 Inch 3K (2880x1620)OLED Display, AI Qualcomm Snapdragon X Plus NPU/16GB RAM DDR5/1TB SSD/Windows 11 Home/ English/Arabic Cool Silver",4199.00,3.8,https://f.nooncdn.com/p/pnsku/N70095107V/45/_/1726664847/26bb4381-a33f-4acc-946c-f9716fd60bbe.jpg?width=1200,Snapdragon X Plus,16 GB,1 TB,15.6 in,Windows 11 Home,,S5507QA-MA007W,https://www.noon.com/saudi-en/vivobook-s-15-laptop-with-15-6-inch-3k-2880x1620-oled-display-ai-qualcomm-snapdragon-x-plus-npu-16gb-ram-ddr5-1tb-ssd-windows-11-home-english-arabic-cool-silver/N70095107V/p/,,,,10 Hours,,,,,,Cool Silver,,,3.4 GHz,,OLED,,Integrated,,,,,,,,Yes,,1 TB,English/Arabic,,,ASUS Vivobook S 15,S5507QA-MA007W,ASUS Vivobook,,Quad Core,,,2,,Windows,,Windows 11 Home,,,,Snapdragon X Plus,Not Applicable,,,,,16 GB,DDR4,,,,15.6 in,Yes,,,,,SSD,Personal,,,,,
